gene1	YAL001C
gene1368	YIL172C
gene1369	YIL177C
gene1370	YIR006C
gene1371	YIR007W
gene1372	YIR015W
gene1373	YIR017C
gene1374	YIR018W
gene1375	YIR026C
gene1376	YIR029W
gene1377	YIR031C
gene1378	YIR032C
gene1379	YIR033W
gene1380	YIR039C
gene1381	YIR042C
gene1382	YIR043C
gene1383	YJL001W
gene1384	YJL003W
gene1385	YJL009W
gene1386	YJL010C
gene1387	YJL011C
gene1388	YJL015C
gene1389	YJL017W
gene1390	YJL018W
gene1391	YJL019W
gene1392	YJL020C
gene1393	YJL022W
gene1394	YJL023C
gene1395	YJL033W
gene1396	YJL035C
gene1397	YJL036W
gene1398	YJL037W
gene1399	YJL038C
gene1400	YJL039C
gene1401	YJL044C
gene1402	YJL045W
gene1403	YJL046W
gene1404	YJL049W
gene1405	YJL050W
gene1406	YJL051W
gene1407	YJL052W
gene1408	YJL053W
gene1409	YJL059W
gene1410	YJL060W
gene1411	YJL062W
gene1412	YJL063C
gene1413	YJL066C
gene1414	YJL067W
gene1415	YJL069C
gene1416	YJL071W
gene1417	YJL073W
gene1418	YJL074C
gene1419	YJL075C
gene1420	YJL076W
gene1421	YJL077C
gene1422	YJL078C
gene1423	YJL079C
gene1424	YJL081C
gene1425	YJL082W
gene1426	YJL083W
gene1427	YJL084C
gene1428	YJL085W
gene1429	YJL087C
gene1430	YJL088W
gene1431	YJL089W
gene1432	YJL091C
gene1433	YJL092W
gene1434	YJL096W
gene1435	YJL097W
gene1436	YJL099W
gene1437	YJL100W
gene1438	YJL101C
gene1439	YJL102W
gene1440	YJL103C
gene1441	YJL105W
gene1442	YJL106W
gene1443	YJL107C
gene1444	YJL108C
gene1445	YJL111W
gene1446	YJL113W
gene1447	YJL114W
gene1448	YJL115W
gene1449	YJL116C
gene1450	YJL118W
gene1451	YJL127C
gene1452	YJL128C
gene1453	YJL131C
gene1454	YJL132W
gene1455	YJL136C
gene1456	YJL137C
gene1457	YJL140W
gene1458	YJL141C
gene1459	YJL142C
gene1460	YJL144W
gene1461	YJL147C
gene1462	YJL151C
gene1463	YJL152W
gene1464	YJL155C
gene1465	YJL157C
gene1466	YJL158C
gene1467	YJL161W
gene1468	YJL163C
gene1469	YJL164C
gene1470	YJL165C
gene1471	YJL171C
gene1472	YJL172W
gene1473	YJL173C
gene1474	YJL176C
gene1475	YJL177W
gene1476	YJL181W
gene1477	YJL187C
gene1478	YJL188C
gene1479	YJL189W
gene1480	YJL190C
gene1481	YJL191W
gene1482	YJL192C
gene1483	YJL194W
gene1484	YJL195C
gene1485	YJL196C
gene1486	YJL201W
gene1487	YJL202C
gene1488	YJL206C
gene1489	YJL209W
gene1490	YJL210W
gene1491	YJL211C
gene1492	YJL212C
gene1493	YJL213W
gene1494	YJL214W
gene1495	YJL218W
gene1496	YJL219W
gene1497	YJL221C
gene1498	YJL225C
gene1499	YJR002W
gene1500	YJR004C
gene1501	YJR006W
gene1502	YJR008W
gene1503	YJR009C
gene1504	YJR010W
gene1505	YJR015W
gene1506	YJR016C
gene1507	YJR017C
gene1508	YJR019C
gene1509	YJR025C
gene1510	YJR026W
gene1511	YJR027W
gene1512	YJR028W
gene1513	YJR029W
gene1514	YJR030C
gene1515	YJR033C
gene1516	YJR036C
gene1517	YJR039W
gene1518	YJR043C
gene1519	YJR047C
gene1520	YJR048W
gene1521	YJR050W
gene1522	YJR052W
gene1523	YJR055W
gene1524	YJR066W
gene1525	YJR072C
gene1526	YJR073C
gene1527	YJR075W
gene1528	YJR077C
gene1529	YJR078W
gene1530	YJR079W
gene1531	YJR080C
gene1532	YJR091C
gene1533	YJR092W
gene1534	YJR093C
gene1535	YJR094C
gene1536	YJR094W-A
gene1537	YJR095W
gene1538	YJR096W
gene1539	YJR098C
gene1540	YJR099W
gene1541	YJR105W
gene1542	YJR107W
gene1543	YJR109C
gene1544	YJR110W
gene1545	YJR112W
gene1546	YJR115W
gene1547	YJR116W
gene1548	YJR117W
gene1549	YJR118C
gene1550	YJR119C
gene1551	YJR120W
gene1552	YJR123W
gene1553	YJR126C
gene1554	YJR127C
gene1555	YJR129C
gene1556	YJR131W
gene1557	YJR132W
gene1558	YJR137C
gene1559	YJR139C
gene1560	YJR142W
gene1561	YJR145C
gene1562	YJR146W
gene1563	YJR148W
gene1564	YJR149W
gene1565	YJR150C
gene1566	YJR151C
gene1567	YJR155W
gene1568	YJR156C
gene1569	YJR157W
gene1570	YJR158W
gene1571	YJR159W
gene1572	YJR160C
gene1573	YJR162C
gene1574	YKL001C
gene1575	YKL006C-A
gene1576	YKL006W
gene1577	YKL008C
gene1578	YKL016C
gene1579	YKL017C
gene1580	YKL018W
gene1581	YKL020C
gene1582	YKL026C
gene1583	YKL027W
gene1584	YKL029C
gene1585	YKL030W
gene1586	YKL031W
gene1587	YKL032C
gene1588	YKL033W
gene1589	YKL036C
gene1590	YKL037W
gene1591	YKL042W
gene1592	YKL043W
gene1593	YKL044W
gene1594	YKL045W
gene1595	YKL046C
gene1596	YKL050C
gene1597	YKL055C
gene1598	YKL056C
gene1599	YKL057C
gene1600	YKL059C
gene1601	YKL060C
gene1602	YKL066W
gene1603	YKL067W
gene1604	YKL068W
gene1605	YKL076C
gene1606	YKL078W
gene1607	YKL086W
gene1608	YKL087C
gene1609	YKL089W
gene1610	YKL091C
gene1611	YKL092C
gene1612	YKL095W
gene1613	YKL096W
gene1614	YKL096W-A
gene1615	YKL100C
gene1616	YKL101W
gene1617	YKL102C
gene1618	YKL103C
gene1619	YKL105C
gene1620	YKL107W
gene1621	YKL108W
gene1622	YKL109W
gene1623	YKL112W
gene1624	YKL113C
gene1625	YKL115C
gene1626	YKL116C
gene1627	YKL118W
gene1628	YKL121W
gene1629	YKL123W
gene1630	YKL127W
gene1631	YKL129C
gene1632	YKL133C
gene1633	YKL134C
gene1634	YKL139W
gene1635	YKL143W
gene1636	YKL144C
gene1637	YKL146W
gene1638	YKL147C
gene1639	YKL150W
gene1640	YKL151C
gene1641	YKL152C
gene1642	YKL153W
gene1643	YKL154W
gene1644	YKL156W
gene1645	YKL158W
gene1646	YKL161C
gene1647	YKL163W
gene1648	YKL164C
gene1649	YKL166C
gene1650	YKL169C
gene1651	YKL171W
gene1652	YKL173W
gene1653	YKL177W
gene1654	YKL178C
gene1655	YKL180W
gene1656	YKL182W
gene1657	YKL185W
gene1658	YKL187C
gene1659	YKL190W
gene1660	YKL191W
gene1661	YKL192C
gene1662	YKL194C
gene1663	YKL197C
gene1664	YKL201C
gene1665	YKL204W
gene1666	YKL205W
gene1667	YKL219W
gene1668	YKL222C
gene1669	YKL223W
gene1670	YKL225W
gene1671	YKR002W
gene1672	YKR003W
gene1673	YKR004C
gene1674	YKR005C
gene1675	YKR007W
gene1676	YKR009C
gene1677	YKR010C
gene1678	YKR012C
gene1679	YKR013W
gene1680	YKR020W
gene1681	YKR021W
gene1682	YKR031C
gene1683	YKR039W
gene1684	YKR040C
gene1685	YKR041W
gene1686	YKR045C
gene1687	YKR049C
gene1688	YKR051W
gene1689	YKR054C
gene1690	YKR056W
gene1691	YKR057W
gene1692	YKR060W
gene1693	YKR062W
gene1694	YKR067W
gene1695	YKR069W
gene1696	YKR072C
gene1697	YKR073C
gene1698	YKR075C
gene1699	YKR076W
gene1700	YKR077W
gene1701	YKR079C
gene1702	YKR084C
gene1703	YKR086W
gene1704	YKR088C
gene1705	YKR090W
gene1706	YKR091W
gene1707	YKR093W
gene1708	YKR094C
gene1709	YKR095W
gene1710	YKR096W
gene1711	YKR097W
gene1712	YKR098C
gene1713	YKR102W
gene1714	YKR104W
gene1715	YKR106W
gene1716	YLL002W
gene1717	YLL004W
gene1718	YLL006W
gene1719	YLL008W
gene1720	YLL010C
gene1721	YLL013C
gene1722	YLL016W
gene1723	YLL018C
gene1724	YLL020C
gene1725	YLL021W
gene1726	YLL022C
gene1727	YLL024C
gene1728	YLL025W
gene1729	YLL026W
gene1730	YLL028W
gene1731	YLL034C
gene1732	YLL039C
gene1733	YLL040C
gene1734	YLL041C
gene1735	YLL043W
gene1736	YLL045C
gene1737	YLL047W
gene1738	YLL052C
gene1739	YLL053C
gene1740	YLL054C
gene1741	YLL057C
gene1742	YLL058W
gene1743	YLL059C
gene1744	YLL061W
gene1745	YLL062C
gene1746	YLL066C
gene1747	YLL067C
gene1748	YLR001C
gene1749	YLR002C
gene1750	YLR005W
gene1751	YLR007W
gene1752	YLR010C
gene1753	YLR012C
gene1754	YLR014C
gene1755	YLR023C
gene1756	YLR024C
gene1757	YLR025W
gene1758	YLR029C
gene1759	YLR030W
gene1760	YLR031W
gene1761	YLR032W
gene1762	YLR035C
gene1763	YLR039C
gene1764	YLR041W
gene1765	YLR045C
gene1766	YLR048W
gene1767	YLR049C
gene1768	YLR051C
gene1769	YLR052W
gene1770	YLR053C
gene1771	YLR054C
gene1772	YLR055C
gene1773	YLR058C
gene1774	YLR060W
gene1775	YLR062C
gene1776	YLR063W
gene1777	YLR065C
gene1778	YLR068W
gene1779	YLR070C
gene1780	YLR072W
gene1781	YLR075W
gene1782	YLR076C
gene1783	YLR079W
gene1784	YLR080W
gene1785	YLR081W
gene1786	YLR086W
gene1787	YLR087C
gene1788	YLR088W
gene1789	YLR089C
gene1790	YLR092W
gene1791	YLR095C
gene1792	YLR096W
gene1793	YLR098C
gene1794	YLR099C
gene1795	YLR101C
gene1796	YLR103C
gene1797	YLR107W
gene1798	YLR108C
gene1799	YLR109W
gene1800	YLR110C
gene1801	YLR111W
gene1802	YLR114C
gene1803	YLR119W
gene1804	YLR121C
gene1805	YLR123C
gene1806	YLR126C
gene1807	YLR127C
gene1808	YLR128W
gene1809	YLR131C
gene1810	YLR133W
gene1811	YLR134W
gene1812	YLR136C
gene1813	YLR137W
gene1814	YLR138W
gene1815	YLR140W
gene1816	YLR141W
gene1817	YLR142W
gene1818	YLR145W
gene1819	YLR146C
gene1820	YLR149C
gene1821	YLR150W
gene1822	YLR151C
gene1823	YLR152C
gene1824	YLR158C
gene1825	YLR159W
gene1826	YLR161W
gene1827	YLR166C
gene1828	YLR167W
gene1829	YLR168C
gene1830	YLR169W
gene1831	YLR170C
gene1832	YLR171W
gene1833	YLR175W
gene1834	YLR176C
gene1835	YLR177W
gene1836	YLR178C
gene1837	YLR183C
gene1838	YLR184W
gene1839	YLR185W
gene1840	YLR186W
gene1841	YLR187W
gene1842	YLR190W
gene1843	YLR191W
gene1844	YLR192C
gene1845	YLR194C
gene1846	YLR197W
gene1847	YLR198C
gene1848	YLR200W
gene1849	YLR205C
gene1850	YLR207W
gene1851	YLR209C
gene1852	YLR211C
gene1853	YLR212C
gene1854	YLR215C
gene1855	YLR216C
gene1856	YLR217W
gene1857	YLR218C
gene1858	YLR219W
gene1859	YLR220W
gene1860	YLR222C
gene1861	YLR223C
gene1862	YLR227C
gene1863	YLR228C
gene1864	YLR229C
gene1865	YLR231C
gene1866	YLR232W
gene1867	YLR233C
gene1868	YLR234W
gene1869	YLR236C
gene1870	YLR243W
gene1871	YLR248W
gene1872	YLR249W
gene1873	YLR250W
gene1874	YLR251W
gene1875	YLR252W
gene1876	YLR253W
gene1877	YLR254C
gene1878	YLR256W
gene1879	YLR258W
gene1880	YLR260W
gene1881	YLR261C
gene1882	YLR262C
gene1883	YLR265C
gene1884	YLR266C
gene1885	YLR267W
gene1886	YLR270W
gene1887	YLR273C
gene1888	YLR274W
gene1889	YLR275W
gene1890	YLR277C
gene1891	YLR279W
gene1892	YLR281C
gene1893	YLR282C
gene1894	YLR283W
gene1895	YLR286C
gene1896	YLR287C
gene1897	YLR291C
gene1898	YLR293C
gene1899	YLR294C
gene1900	YLR297W
gene1901	YLR298C
gene1902	YLR300W
gene1903	YLR304C
gene1904	YLR305C
gene1905	YLR306W
gene1906	YLR312C
gene1907	YLR313C
gene1908	YLR317W
gene1909	YLR318W
gene1910	YLR319C
gene1911	YLR320W
gene1912	YLR324W
gene1913	YLR325C
gene1914	YLR326W
gene1915	YLR327C
gene1916	YLR331C
gene1917	YLR333C
gene1918	YLR334C
gene1919	YLR338W
gene1920	YLR339C
gene1921	YLR340W
gene1922	YLR343W
gene1923	YLR344W
gene1924	YLR345W
gene1925	YLR346C
gene1926	YLR352W
gene1927	YLR353W
gene1928	YLR355C
gene1929	YLR358C
gene1930	YLR364W
gene1931	YLR367W
gene1932	YLR369W
gene1933	YLR374C
gene1934	YLR376C
gene1935	YLR380W
gene1936	YLR381W
gene1937	YLR382C
gene1938	YLR383W
gene1939	YLR384C
gene1940	YLR386W
gene1941	YLR388W
gene1942	YLR392C
gene1943	YLR395C
gene1944	YLR400W
gene1945	YLR401C
gene1946	YLR406C
gene1947	YLR408C
gene1948	YLR411W
gene1949	YLR413W
gene1950	YLR414C
gene1951	YLR415C
gene1952	YLR420W
gene1953	YLR425W
gene1954	YLR426W
gene1955	YLR428C
gene1956	YLR430W
gene1957	YLR432W
gene1958	YLR434C
gene1959	YLR437C
gene1960	YLR438W
gene1961	YLR439W
gene1962	YLR441C
gene1963	YLR444C
gene1964	YLR445W
gene1965	YLR448W
gene1966	YLR450W
gene1967	YLR451W
gene1968	YLR452C
gene1969	YLR453C
gene1970	YLR454W
gene1971	YLR455W
gene1972	YLR457C
gene1973	YLR462W
gene1974	YLR465C
gene1975	YLR467W
gene1976	YML008C
gene1977	YML009C
gene1978	YML010W
gene1979	YML012W
gene1980	YML013C-A
gene1981	YML019W
gene1982	YML021C
gene1983	YML024W
gene1984	YML026C
gene1985	YML027W
gene1986	YML030W
gene1987	YML031W
gene1988	YML032C
gene1989	YML033W
gene1990	YML034W
gene1991	YML035C
gene1992	YML037C
gene1993	YML038C
gene1994	YML039W
gene1995	YML040W
gene1996	YML042W
gene1997	YML045W
gene1998	YML046W
gene1999	YML052W
gene2000	YML053C
gene2001	YML054C
gene2002	YML055W
gene2003	YML056C
gene2004	YML058C-A
gene2005	YML059C
gene2006	YML060W
gene2007	YML061C
gene2008	YML063W
gene2009	YML064C
gene2010	YML065W
gene2011	YML066C
gene2012	YML068W
gene2013	YML073C
gene2014	YML074C
gene2015	YML077W
gene2016	YML078W
gene2017	YML080W
gene2018	YML081W
gene2019	YML082W
gene2020	YML083C
gene2021	YML090W
gene2022	YML091C
gene2023	YML093W
gene2024	YML094W
gene2025	YML095C
gene2026	YML096W
gene2027	YML100W
gene2028	YML101C
gene2029	YML102C-A
gene2030	YML102W
gene2031	YML103C
gene2032	YML104C
gene2033	YML105C
gene2034	YML109W
gene2035	YML114C
gene2036	YML115C
gene2037	YML117W
gene2038	YML119W
gene2039	YML120C
gene2040	YML122C
gene2041	YML128C
gene2042	YML130C
gene2043	YML131W
gene2044	YML133C
gene2045	YMR001C
gene2046	YMR003W
gene2047	YMR006C
gene2048	YMR007W
gene2049	YMR008C
gene2050	YMR009W
gene2051	YMR011W
gene2052	YMR017W
gene2053	YMR018W
gene2054	YMR021C
gene2055	YMR022W
gene2056	YMR023C
gene2057	YMR024W
gene2058	YMR025W
gene2059	YMR030W
gene2060	YMR031C
gene2061	YMR032W
gene2062	YMR033W
gene2063	YMR034C
gene2064	YMR035W
gene2065	YMR036C
gene2066	YMR040W
gene2067	YMR042W
gene2068	YMR044W
gene2069	YMR045C
gene2070	YMR046C
gene2071	YMR048W
gene2072	YMR049C
gene2073	YMR050C
gene2074	YMR053C
gene2075	YMR055C
gene2076	YMR056C
gene2077	YMR058W
gene2078	YMR059W
gene2079	YMR062C
gene2080	YMR066W
gene2081	YMR069W
gene2082	YMR070W
gene2083	YMR072W
gene2084	YMR073C
gene2085	YMR074C
gene2086	YMR075C-A
gene2087	YMR076C
gene2088	YMR078C
gene2089	YMR079W
gene2090	YMR080C
gene2091	YMR081C
gene2092	YMR086C-A
gene2093	YMR086W
gene2094	YMR090W
gene2095	YMR091C
gene2096	YMR092C
gene2097	YMR093W
gene2098	YMR095C
gene2099	YMR096W
gene2100	YMR097C
gene2101	YMR098C
gene2102	YMR103C
gene2103	YMR104C
gene2104	YMR105C
gene2105	YMR106C
gene2106	YMR108W
gene2107	YMR109W
gene2108	YMR110C
gene2109	YMR111C
gene2110	YMR112C
gene2111	YMR116C
gene2112	YMR117C
gene2113	YMR119W
gene2114	YMR121C
gene2115	YMR122C
gene2116	YMR123W
gene2117	YMR128W
gene2118	YMR129W
gene2119	YMR130W
gene2120	YMR131C
gene2121	YMR132C
gene2122	YMR133W
gene2123	YMR134W
gene2124	YMR136W
gene2125	YMR139W
gene2126	YMR141C
gene2127	YMR143W
gene2128	YMR144W
gene2129	YMR145C
gene2130	YMR146C
gene2131	YMR147W
gene2132	YMR152W
gene2133	YMR153C-A
gene2134	YMR154C
gene2135	YMR156C
gene2136	YMR158W
gene2137	YMR160W
gene2138	YMR161W
gene2139	YMR162C
gene2140	YMR163C
gene2141	YMR166C
gene2142	YMR167W
gene2143	YMR169C
gene2144	YMR170C
gene2145	YMR171C
gene2146	YMR172C-A
gene2147	YMR172W
gene2148	YMR173W
gene2149	YMR174C
gene2150	YMR176W
gene2151	YMR177W
gene2152	YMR178W
gene2153	YMR179W
gene2154	YMR181C
gene2155	YMR183C
gene2156	YMR184W
gene2157	YMR185W
gene2158	YMR186W
gene2159	YMR188C
gene2160	YMR189W
gene2161	YMR190C
gene2162	YMR191W
gene2163	YMR193C-A
gene2164	YMR194W
gene2165	YMR195W
gene2166	YMR196W
gene2167	YMR198W
gene2168	YMR199W
gene2169	YMR200W
gene2170	YMR201C
gene2171	YMR202W
gene2172	YMR207C
gene2173	YMR208W
gene2174	YMR209C
gene2175	YMR211W
gene2176	YMR212C
gene2177	YMR213W
gene2178	YMR215W
gene2179	YMR217W
gene2180	YMR222C
gene2181	YMR223W
gene2182	YMR225C
gene2183	YMR226C
gene2184	YMR228W
gene2185	YMR230W
gene2186	YMR231W
gene2187	YMR232W
gene2188	YMR233W
gene2189	YMR234W
gene2190	YMR235C
gene2191	YMR236W
gene2192	YMR242C
gene2193	YMR244C-A
gene2194	YMR246W
gene2195	YMR250W
gene2196	YMR251W
gene2197	YMR253C
gene2198	YMR254C
gene2199	YMR255W
gene2200	YMR262W
gene2201	YMR263W
gene2202	YMR265C
gene2203	YMR268C
gene2204	YMR269W
gene2205	YMR270C
gene2206	YMR271C
gene2207	YMR273C
gene2208	YMR274C
gene2209	YMR278W
gene2210	YMR279C
gene2211	YMR281W
gene2212	YMR284W
gene2213	YMR286W
gene2214	YMR290C
gene2215	YMR290W-A
gene2216	YMR291W
gene2217	YMR294W
gene2218	YMR295C
gene2219	YMR299C
gene2220	YMR303C
gene2221	YMR305C
gene2222	YMR306C-A
gene2223	YMR306W
gene2224	YMR308C
gene2225	YMR312W
gene2226	YMR316C-A
gene2227	YMR316W
gene2228	YMR317W
gene2229	YMR320W
gene2230	YMR325W
gene2231	YNL004W
gene2232	YNL007C
gene2233	YNL009W
gene2234	YNL011C
gene2235	YNL012W
gene2236	YNL013C
gene2237	YNL014W
gene2238	YNL015W
gene2239	YNL016W
gene2240	YNL019C
gene2241	YNL021W
gene2242	YNL029C
gene2243	YNL030W
gene2244	YNL031C
gene2245	YNL033W
gene2246	YNL034W
gene2247	YNL035C
gene2248	YNL037C
gene2249	YNL038W
gene2250	YNL041C
gene2251	YNL042W
gene2252	YNL043C
gene2253	YNL046W
gene2254	YNL047C
gene2255	YNL049C
gene2256	YNL051W
gene2257	YNL053W
gene2258	YNL056W
gene2259	YNL057W
gene2260	YNL058C
gene2261	YNL063W
gene2262	YNL065W
gene2263	YNL067W
gene2264	YNL071W
gene2265	YNL072W
gene2266	YNL073W
gene2267	YNL078W
gene2268	YNL079C
gene2269	YNL082W
gene2270	YNL083W
gene2271	YNL084C
gene2272	YNL087W
gene2273	YNL088W
gene2274	YNL092W
gene2275	YNL094W
gene2276	YNL096C
gene2277	YNL097C
gene2278	YNL101W
gene2279	YNL102W
gene2280	YNL106C
gene2281	YNL110C
gene2282	YNL111C
gene2283	YNL112W
gene2284	YNL113W
gene2285	YNL114C
gene2286	YNL115C
gene2287	YNL124W
gene2288	YNL126W
gene2289	YNL132W
gene2290	YNL133C
gene2291	YNL134C
gene2292	YNL136W
gene2293	YNL140C
gene2294	YNL142W
gene2295	YNL144C
gene2296	YNL146W
gene2297	YNL147W
gene2298	YNL148C
gene2299	YNL149C
gene2300	YNL150W
gene2301	YNL152W
gene2302	YNL154C
gene2303	YNL156C
gene2304	YNL160W
gene2305	YNL162W
gene2306	YNL163C
gene2307	YNL164C
gene2308	YNL170W
gene2309	YNL171C
gene2310	YNL172W
gene2311	YNL173C
gene2312	YNL175C
gene2313	YNL176C
gene2314	YNL179C
gene2315	YNL184C
gene2316	YNL186W
gene2317	YNL191W
gene2318	YNL192W
gene2319	YNL193W
gene2320	YNL194C
gene2321	YNL195C
gene2322	YNL196C
gene2323	YNL197C
gene2324	YNL198C
gene2325	YNL199C
gene2326	YNL200C
gene2327	YNL201C
gene2328	YNL203C
gene2329	YNL209W
gene2330	YNL210W
gene2331	YNL211C
gene2332	YNL215W
gene2333	YNL217W
gene2334	YNL218W
gene2335	YNL219C
gene2336	YNL220W
gene2337	YNL223W
gene2338	YNL227C
gene2339	YNL230C
gene2340	YNL231C
gene2341	YNL233W
gene2342	YNL234W
gene2343	YNL237W
gene2344	YNL241C
gene2345	YNL242W
gene2346	YNL243W
gene2347	YNL251C
gene2348	YNL252C
gene2349	YNL255C
gene2350	YNL258C
gene2351	YNL263C
gene2352	YNL266W
gene2353	YNL269W
gene2354	YNL270C
gene2355	YNL273W
gene2356	YNL274C
gene2357	YNL276C
gene2358	YNL277W
gene2359	YNL278W
gene2360	YNL279W
gene2361	YNL281W
gene2362	YNL285W
gene2363	YNL289W
gene2364	YNL290W
gene2365	YNL294C
gene2366	YNL299W
gene2367	YNL300W
gene2368	YNL301C
gene2369	YNL302C
gene2370	YNL303W
gene2371	YNL304W
gene2372	YNL305C
gene2373	YNL306W
gene2374	YNL309W
gene2375	YNL310C
gene2376	YNL312W
gene2377	YNL313C
gene2378	YNL314W
gene2379	YNL325C
gene2380	YNL327W
gene2381	YNL328C
gene2382	YNL329C
gene2383	YNL333W
gene2384	YNL335W
gene2385	YNL336W
gene2386	YNL339C
gene2387	YNR001C
gene2388	YNR002C
gene2389	YNR003C
gene2390	YNR004W
gene2391	YNR006W
gene2392	YNR009W
gene2393	YNR013C
gene2394	YNR014W
gene2395	YNR018W
gene2396	YNR019W
gene2397	YNR022C
gene2398	YNR032W
gene2399	YNR034W
gene2400	YNR036C
gene2401	YNR038W
gene2402	YNR039C
gene2403	YNR042W
gene2404	YNR044W
gene2405	YNR046W
gene2406	YNR049C
gene2407	YNR051C
gene2408	YNR053C
gene2409	YNR058W
gene2410	YNR060W
gene2411	YNR062C
gene2412	YNR063W
gene2413	YNR065C
gene2414	YNR067C
gene2415	YNR068C
gene2416	YNR071C
gene2417	YNR073C
gene2418	YNR077C
gene2419	YOL002C
gene2420	YOL007C
gene2421	YOL009C
gene2422	YOL010W
gene2423	YOL011W
gene2424	YOL012C
gene2425	YOL013C
gene2426	YOL014W
gene2427	YOL016C
gene2428	YOL017W
gene2429	YOL021C
gene2430	YOL022C
gene2431	YOL023W
gene2432	YOL026C
gene2433	YOL027C
gene2434	YOL028C
gene2435	YOL031C
gene2436	YOL032W
gene2437	YOL036W
gene2438	YOL038W
gene2439	YOL039W
gene2440	YOL040C
gene2441	YOL041C
gene2442	YOL042W
gene2443	YOL044W
gene2444	YOL046C
gene2445	YOL047C
gene2446	YOL048C
gene2447	YOL049W
gene2448	YOL050C
gene2449	YOL052C-A
gene2450	YOL054W
gene2451	YOL055C
gene2452	YOL058W
gene2453	YOL059W
gene2454	YOL060C
gene2455	YOL063C
gene2456	YOL064C
gene2457	YOL065C
gene2458	YOL069W
gene2459	YOL070C
gene2460	YOL071W
gene2461	YOL073C
gene2462	YOL077C
gene2463	YOL079W
gene2464	YOL080C
gene2465	YOL081W
gene2466	YOL082W
gene2467	YOL083W
gene2468	YOL090W
gene2469	YOL091W
gene2470	YOL093W
gene2471	YOL096C
gene2472	YOL100W
gene2473	YOL101C
gene2474	YOL104C
gene2475	YOL105C
gene2476	YOL106W
gene2477	YOL107W
gene2478	YOL108C
gene2479	YOL113W
gene2480	YOL114C
gene2481	YOL117W
gene2482	YOL118C
gene2483	YOL119C
gene2484	YOL123W
gene2485	YOL124C
gene2486	YOL126C
gene2487	YOL127W
gene2488	YOL130W
gene2489	YOL134C
gene2490	YOL138C
gene2491	YOL139C
gene2492	YOL140W
gene2493	YOL141W
gene2494	YOL143C
gene2495	YOL144W
gene2496	YOL145C
gene2497	YOL146W
gene2498	YOL147C
gene2499	YOL150C
gene2500	YOL151W
gene2501	YOL152W
gene2502	YOL153C
gene2503	YOL154W
gene2504	YOL155C
gene2505	YOL156W
gene2506	YOL158C
gene2507	YOL159C
gene2508	YOL160W
gene2509	YOL161C
gene2510	YOL162W
gene2511	YOL163W
gene2512	YOL164W
gene2513	YOL165C
gene2514	YOR001W
gene2515	YOR003W
gene2516	YOR005C
gene2517	YOR006C
gene2518	YOR012W
gene2519	YOR025W
gene2520	YOR026W
gene2521	YOR027W
gene2522	YOR032C
gene2523	YOR036W
gene2524	YOR040W
gene2525	YOR041C
gene2526	YOR042W
gene2527	YOR049C
gene2528	YOR050C
gene2529	YOR053W
gene2530	YOR054C
gene2531	YOR056C
gene2532	YOR058C
gene2533	YOR061W
gene2534	YOR065W
gene2535	YOR066W
gene2536	YOR071C
gene2537	YOR072W
gene2538	YOR073W
gene2539	YOR074C
gene2540	YOR075W
gene2541	YOR077W
gene2542	YOR078W
gene2543	YOR084W
gene2544	YOR087W
gene2545	YOR089C
gene2546	YOR091W
gene2547	YOR094W
gene2548	YOR098C
gene2549	YOR102W
gene2550	YOR103C
gene2551	YOR104W
gene2552	YOR107W
gene2553	YOR109W
gene2554	YOR114W
gene2555	YOR120W
gene2556	YOR121C
gene2557	YOR123C
gene2558	YOR127W
gene2559	YOR132W
gene2560	YOR134W
gene2561	YOR135C
gene2562	YOR136W
gene2563	YOR140W
gene2564	YOR142W
gene2565	YOR144C
gene2566	YOR145C
gene2567	YOR152C
gene2568	YOR153W
gene2569	YOR156C
gene2570	YOR160W
gene2571	YOR163W
gene2572	YOR167C
gene2573	YOR172W
gene2574	YOR173W
gene2575	YOR175C
gene2576	YOR177C
gene2577	YOR178C
gene2578	YOR180C
gene2579	YOR181W
gene2580	YOR185C
gene2581	YOR188W
gene2582	YOR189W
gene2583	YOR190W
gene2584	YOR191W
gene2585	YOR195W
gene2586	YOR199W
gene2587	YOR201C
gene2588	YOR203W
gene2589	YOR205C
gene2590	YOR206W
gene2591	YOR218C
gene2592	YOR219C
gene2593	YOR220W
gene2594	YOR224C
gene2595	YOR229W
gene2596	YOR234C
gene2597	YOR236W
gene2598	YOR237W
gene2599	YOR242C
gene2600	YOR247W
gene2601	YOR248W
gene2602	YOR252W
gene2603	YOR254C
gene2604	YOR264W
gene2605	YOR265W
gene2606	YOR267C
gene2607	YOR269W
gene2608	YOR272W
gene2609	YOR273C
gene2610	YOR279C
gene2611	YOR282W
gene2612	YOR283W
gene2613	YOR284W
gene2614	YOR289W
gene2615	YOR290C
gene2616	YOR292C
gene2617	YOR293W
gene2618	YOR297C
gene2619	YOR300W
gene2620	YOR302W
gene2621	YOR304W
gene2622	YOR306C
gene2623	YOR309C
gene2624	YOR312C
gene2625	YOR313C
gene2626	YOR314W
gene2627	YOR315W
gene2628	YOR317W
gene2629	YOR318C
gene2630	YOR321W
gene2631	YOR327C
gene2632	YOR330C
gene2633	YOR333C
gene2634	YOR338W
gene2635	YOR339C
gene2636	YOR341W
gene2637	YOR342C
gene2638	YOR345C
gene2639	YOR347C
gene2640	YOR352W
gene2641	YOR356W
gene2642	YOR357C
