2884 17
probeset	cond0	cond1	cond2	cond3	cond4	cond5	cond6	cond7	cond8	cond9	cond10	cond11	cond12	cond13	cond14	cond15	cond16
gene754	195	195	220	240	179	240	195	208	240	161	220	240	230	240	195	195	220
gene755	208	220	161	195	110	195	179	195	220	110	179	179	195	208	179	195	195
gene756	240	264	230	220	195	277	256	248	271	271	283	277	264	271	256	283	304
gene757	139	110	110	110	110	139	110	69	139	0	110	69	139	110	110	139	69
gene758	300	381	376	356	322	364	366	318	333	322	318	326	330	364	347	361	340
gene759	340	256	277	347	326	326	314	314	343	314	340	326	314	304	314	318	340
gene760	330	248	264	333	314	314	300	300	333	304	330	318	300	289	309	300	340
gene761	356	314	376	411	397	378	381	369	383	416	401	385	350	350	366	347	408
gene762	309	322	240	264	271	294	240	283	294	256	300	300	283	294	271	289	289
gene763	179	161	139	195	161	220	179	179	208	110	161	179	195	161	161	179	179
gene764	161	179	179	208	161	240	208	161	208	139	161	161	195	179	179	179	179
gene765	240	277	283	264	240	294	271	248	271	208	240	248	277	271	248	271	248
gene766	381	428	445	414	411	411	430	374	387	442	425	426	399	456	432	450	429
gene767	110	110	161	195	220	240	161	139	139	69	179	208	220	179	161	110	110
gene768	374	353	350	340	326	318	314	326	350	343	347	347	289	330	326	314	364
gene769	230	69	0	110	110	139	0	139	179	110	179	179	161	139	110	161	161
gene770	277	340	318	337	309	337	300	322	322	240	277	289	294	309	309	289	304
gene771	110	110	69	110	110	139	69	69	110	0	69	69	69	69	69	0	69
gene772	161	195	110	139	139	208	195	179	195	69	139	161	179	195	161	179	179
gene773	195	230	208	208	139	220	220	195	208	110	161	161	195	179	161	179	179
gene774	314	389	383	358	353	366	376	340	353	322	330	333	347	383	364	374	364
gene775	139	195	161	139	139	195	195	110	139	69	69	69	110	161	161	139	110
gene776	248	208	179	208	161	208	179	220	230	139	179	195	208	195	179	179	220
gene777	230	195	195	240	195	230	195	230	240	161	208	230	230	195	208	161	230
gene778	277	264	248	277	256	289	264	271	283	248	264	271	256	283	283	240	289
gene779	230	248	161	195	139	240	110	179	139	69	69	110	110	110	110	110	139
gene780	230	248	179	240	179	256	240	240	256	195	248	240	248	248	240	230	256
gene781	309	350	366	353	326	343	353	309	322	330	330	337	326	361	350	364	347
gene782	139	220	195	161	110	220	208	161	208	139	195	179	179	208	139	220	195
gene783	271	220	208	195	208	220	195	195	256	264	322	340	353	376	356	366	356
gene784	383	369	397	385	432	401	393	393	393	419	429	437	399	456	451	426	456
gene785	471	456	485	456	502	448	461	462	448	541	511	502	439	520	526	496	518
gene786	195	139	179	195	139	161	69	139	161	139	195	208	179	179	139	110	161
gene787	289	277	271	277	283	283	248	289	294	256	256	256	240	271	256	264	248
gene788	411	419	437	428	452	426	422	429	419	480	458	453	406	456	447	441	475
gene789	110	110	110	110	69	139	69	110	110	0	0	69	110	110	69	69	0
gene790	208	179	139	179	161	195	139	179	195	110	161	161	161	179	161	161	161
gene791	300	309	277	283	264	294	264	294	294	283	314	309	289	340	309	289	309
gene792	208	230	179	161	230	277	256	220	220	161	208	195	195	248	230	248	220
gene793	240	271	256	283	256	314	256	271	289	248	248	271	289	309	264	294	277
gene794	277	256	208	179	179	220	220	195	195	161	161	179	179	179	195	230	220
gene795	220	248	220	220	195	248	240	208	230	161	208	220	220	230	220	248	220
gene796	309	248	256	283	271	283	264	264	318	318	309	314	300	309	294	283	343
gene797	179	208	208	220	161	208	161	161	179	110	195	208	208	179	161	139	161
gene798	69	69	0	69	0	69	0	0	0	0	0	0	0	0	0	0	0
gene799	110	139	69	69	69	69	69	0	69	0	0	69	0	69	0	69	69
gene800	230	256	220	220	240	256	248	220	230	208	208	220	220	240	208	240	220
gene801	220	195	110	179	179	195	139	161	179	110	139	139	139	161	139	139	139
gene802	314	230	248	283	283	300	264	277	283	230	283	283	277	283	271	256	256
gene803	271	330	300	326	300	326	309	294	304	220	277	264	289	314	309	283	248
gene804	179	195	161	179	139	195	139	179	179	110	161	161	179	179	161	139	161
gene805	208	208	139	179	179	220	161	161	208	139	179	195	161	208	195	179	195
gene806	208	230	179	179	195	220	195	195	220	139	161	161	179	220	195	208	195
gene807	333	378	403	383	385	378	393	353	369	447	391	397	374	423	423	437	408
gene808	408	453	465	444	447	438	468	406	420	504	460	453	426	500	490	502	483
gene809	220	240	195	195	179	195	195	179	195	110	161	179	195	208	179	220	179
gene810	220	139	110	139	161	195	161	195	208	110	179	195	195	179	179	161	208
gene811	179	110	69	139	139	179	139	179	179	139	139	161	161	179	179	161	179
gene812	364	361	376	376	369	376	356	358	364	381	378	385	343	374	371	350	399
gene813	230	179	110	179	179	220	161	195	208	110	179	161	195	195	179	220	195
gene814	271	289	248	256	179	271	248	248	277	208	240	240	248	220	220	220	220
gene815	161	161	69	110	110	179	139	161	179	110	161	161	179	161	139	161	139
gene816	289	353	347	350	343	376	414	358	374	369	364	371	366	397	387	408	378
gene817	429	429	439	438	480	444	476	464	448	493	479	482	443	496	493	483	494
gene818	195	110	69	139	110	139	110	139	179	110	161	161	139	110	139	110	161
gene819	139	110	69	110	69	110	69	110	139	69	110	110	110	110	110	69	110
gene820	179	139	110	161	139	179	110	139	161	69	110	110	110	110	110	110	139
gene821	69	110	161	161	69	161	69	110	139	139	161	161	139	139	110	69	139
gene822	248	304	300	300	264	309	283	256	294	264	283	283	264	289	271	271	277
gene823	139	110	110	139	110	161	110	110	139	0	69	110	110	110	69	110	69
gene824	195	248	248	240	240	277	230	208	208	161	179	208	230	248	220	248	220
gene825	426	417	420	438	448	404	408	403	401	480	449	439	403	455	465	444	462
gene826	220	179	161	208	208	220	161	179	208	161	179	195	208	220	195	161	179
gene827	314	347	330	340	347	364	330	353	353	256	304	330	314	340	314	322	318
gene828	443	448	463	454	477	432	444	434	420	523	478	466	414	483	488	477	496
gene829	110	179	161	179	240	283	195	179	161	69	139	179	230	256	230	195	179
gene830	256	271	208	240	161	230	161	161	195	139	139	139	161	161	161	161	161
gene831	220	240	208	220	195	271	248	220	256	195	230	248	248	256	240	264	230
gene832	208	294	271	264	248	304	304	248	277	264	264	264	277	289	283	309	264
gene833	179	161	69	69	69	110	69	110	110	0	0	69	0	0	69	0	69
gene834	271	304	240	277	300	318	271	277	264	195	220	248	264	289	264	256	220
gene835	289	366	340	343	294	350	333	326	350	256	314	309	283	326	322	294	330
gene836	208	230	179	220	220	264	220	220	248	179	208	220	220	230	208	230	230
gene837	304	350	343	347	314	358	353	289	322	256	289	314	330	343	314	358	330
gene838	179	220	179	195	161	220	195	161	195	161	179	195	208	230	208	220	208
gene839	411	434	443	439	454	434	447	411	420	483	456	456	403	469	476	460	476
gene840	230	230	220	230	208	240	195	220	240	161	220	230	230	240	230	208	240
gene841	283	289	277	277	230	283	256	240	271	256	256	256	256	283	256	277	264
gene842	240	277	220	248	256	289	264	240	256	208	240	248	264	283	248	277	248
gene843	240	271	248	240	220	264	264	208	230	208	195	220	240	264	240	271	240
gene844	264	277	264	264	271	289	283	248	264	248	264	271	271	309	277	309	271
gene845	179	179	161	179	161	208	139	161	195	110	161	161	179	139	139	139	139
gene846	374	393	361	378	333	387	350	343	383	350	387	385	366	408	393	387	411
gene847	69	139	161	195	110	161	110	69	139	110	161	179	195	161	110	69	110
gene848	230	271	248	240	230	271	220	208	230	179	240	248	208	220	195	195	179
gene849	248	256	230	220	248	264	230	220	240	220	220	230	220	248	220	256	240
gene850	0	139	195	179	69	139	110	69	110	69	69	110	69	139	69	110	69
gene851	277	353	364	358	326	309	300	248	283	230	240	256	277	294	300	330	277
gene852	356	330	264	256	264	294	277	300	309	277	330	318	289	314	294	300	350
gene853	294	264	208	230	230	271	240	248	283	220	289	289	271	264	256	230	309
gene854	139	110	0	110	69	139	110	69	139	0	110	69	110	69	110	69	69
gene855	139	139	110	161	139	179	110	110	139	69	110	139	161	139	110	110	69
gene856	463	472	456	473	465	448	428	425	432	503	485	479	429	495	498	464	488
gene857	69	69	69	110	0	110	0	0	0	0	69	69	69	69	0	0	0
gene858	161	179	230	208	69	161	139	69	139	139	179	195	195	139	139	139	110
gene859	264	304	322	326	264	318	294	208	264	230	256	271	304	322	283	309	264
gene860	208	208	179	195	220	264	240	195	220	161	208	230	248	264	240	264	240
gene861	110	69	0	0	0	69	69	0	69	0	69	69	69	69	69	0	69
gene862	256	304	381	356	347	343	283	271	294	304	381	381	337	330	294	256	304
gene863	318	264	208	220	195	240	161	195	240	256	264	256	230	240	240	248	256
gene864	294	289	230	248	208	264	208	220	264	240	264	271	248	264	248	240	294
gene865	356	337	271	294	248	318	277	264	322	294	337	337	322	337	330	309	358
gene866	208	248	208	230	161	271	230	208	240	110	161	179	195	208	195	179	208
gene867	240	179	139	195	179	208	139	139	179	179	208	220	208	195	179	195	208
gene868	322	289	314	309	300	309	289	256	289	271	304	309	309	326	271	318	300
gene869	330	364	376	374	347	378	374	314	333	330	337	353	343	374	347	369	340
gene870	318	294	318	322	300	304	318	289	304	309	318	318	294	294	326	271	330
gene871	69	0	0	69	0	69	69	69	110	0	69	69	69	69	110	69	110
gene872	208	195	139	139	110	139	69	110	139	0	110	110	69	69	69	69	69
gene873	256	283	248	264	271	294	271	271	277	220	264	271	264	264	248	220	264
gene874	0	69	69	69	0	0	0	0	0	69	0	69	0	110	69	69	69
gene875	69	110	69	110	110	161	110	69	139	69	69	110	110	139	110	69	110
gene876	220	240	179	220	208	277	208	195	240	179	208	230	220	240	230	220	240
gene877	179	309	264	208	179	220	195	195	240	179	230	220	220	208	179	179	161
gene878	376	406	389	399	395	411	420	371	397	445	420	413	395	454	453	475	445
gene879	110	110	110	110	110	161	69	110	139	69	110	139	139	139	110	161	161
gene880	256	304	300	294	240	294	283	256	283	277	256	294	294	330	326	347	304
gene881	139	161	179	179	161	179	179	110	161	110	179	195	179	179	179	110	195
gene882	195	208	179	208	195	248	195	208	230	161	248	256	256	264	220	240	220
gene883	179	179	161	179	139	240	161	161	220	161	240	240	230	230	208	195	195
gene884	230	256	220	230	208	271	240	220	264	208	256	271	264	271	240	248	264
gene885	139	110	0	69	0	179	161	69	139	110	110	110	110	139	110	110	139
gene886	161	195	179	179	110	179	161	110	161	110	139	139	161	161	110	161	139
gene887	264	304	309	309	283	309	294	240	271	271	264	277	277	304	289	318	271
gene888	220	271	240	256	230	240	248	195	208	139	179	195	179	230	220	220	161
gene889	0	69	0	0	69	69	69	69	69	0	69	69	69	110	69	69	110
gene890	371	374	381	393	401	389	369	369	381	432	437	426	374	395	391	366	429
gene891	318	340	322	350	358	340	350	340	322	294	304	333	333	337	326	330	314
gene892	161	110	69	69	0	0	0	69	69	0	69	69	110	69	69	69	69
gene893	240	179	139	179	161	139	139	179	161	139	139	139	161	139	139	161	161
gene894	161	139	110	139	110	110	161	139	139	69	110	110	161	110	110	110	110
gene895	283	220	248	294	294	283	289	300	277	248	248	230	289	240	220	230	256
gene896	110	0	0	0	0	0	0	0	0	0	0	69	69	0	0	69	0
gene897	220	230	220	240	220	220	230	230	220	161	195	195	240	195	208	208	195
gene898	110	69	69	110	69	69	69	110	69	0	69	69	110	69	110	69	69
gene899	110	110	110	161	179	161	110	139	110	69	69	110	195	161	110	139	110
gene900	161	195	195	208	208	208	161	179	161	110	110	161	195	195	139	179	161
gene901	230	304	271	264	271	248	264	283	271	240	248	248	264	248	264	264	240
gene902	110	110	69	69	139	110	139	139	110	69	69	69	110	110	110	69	139
gene903	230	110	110	161	195	195	195	220	240	208	240	220	240	195	208	220	248
gene904	69	0	0	0	69	0	69	161	139	69	139	69	110	69	110	69	69
gene905	337	387	371	374	374	353	347	353	343	361	330	350	361	371	343	381	356
gene906	208	240	195	195	179	179	220	264	248	208	195	179	195	161	161	208	208
gene907	364	381	383	383	385	343	376	393	376	451	401	385	361	364	406	406	378
gene908	230	230	208	208	208	179	220	240	230	220	220	195	230	179	220	179	161
gene909	304	256	110	139	139	139	110	161	220	208	220	248	256	240	220	271	277
gene910	161	230	220	220	240	208	240	220	208	161	179	208	220	220	208	208	161
gene911	220	195	139	195	230	208	208	208	195	161	161	161	195	179	161	195	161
gene912	240	248	195	208	264	240	248	277	264	195	240	248	271	230	264	256	240
gene913	195	256	240	240	248	195	139	195	208	179	208	240	208	161	195	161	139
gene914	69	161	110	69	69	69	110	110	110	0	69	69	69	69	110	69	0
gene915	283	294	309	294	289	256	294	326	309	300	309	283	300	277	314	289	277
gene916	0	69	69	0	69	69	69	69	69	69	69	69	69	69	69	69	69
gene917	69	179	139	110	139	139	139	161	161	110	110	139	139	139	139	161	110
gene918	195	256	230	220	264	256	256	256	248	208	220	240	248	240	220	240	220
gene919	195	139	110	161	161	139	179	179	179	110	139	161	195	179	139	179	161
gene920	283	240	208	208	208	179	195	195	179	139	139	139	161	161	139	139	139
gene921	69	110	161	179	195	195	161	139	69	0	69	139	179	161	139	69	69
gene922	139	69	69	0	0	0	0	69	69	0	69	0	110	69	0	0	110
gene923	0	110	139	110	110	110	69	69	69	69	110	139	110	139	69	110	110
gene924	110	69	69	69	69	110	110	139	139	69	69	110	195	195	179	179	179
gene925	69	69	0	69	69	0	0	69	0	0	0	0	0	0	0	0	0
gene926	161	179	110	139	161	110	110	139	139	69	69	110	139	110	110	110	110
gene927	139	69	110	69	0	0	0	0	0	0	0	0	0	0	0	0	0
gene928	230	195	195	179	161	139	139	161	110	69	69	69	110	110	69	69	110
gene929	110	161	161	110	139	110	0	139	139	110	139	161	161	139	110	110	110
gene930	230	264	271	271	256	240	248	256	248	289	264	277	264	248	240	248	230
gene931	248	330	361	358	358	330	309	277	248	208	309	340	353	333	304	289	271
gene932	179	208	277	294	277	248	248	230	208	179	240	264	283	248	208	208	179
gene933	179	208	179	179	195	195	179	208	161	139	139	161	179	161	161	161	161
gene934	139	110	110	69	69	69	69	110	69	0	0	0	69	69	69	69	69
gene935	326	371	369	350	376	340	330	343	343	374	350	369	369	371	356	387	366
gene936	309	314	391	458	445	434	439	428	383	409	361	369	406	395	340	381	353
gene937	304	289	271	294	294	294	294	304	289	277	277	289	304	300	264	300	300
gene938	240	220	256	294	277	264	256	256	230	195	220	230	240	208	179	208	195
gene939	208	208	240	294	248	240	230	230	179	195	220	240	240	230	195	195	195
gene940	208	208	179	179	208	179	195	195	208	179	195	195	208	179	139	179	195
gene941	139	139	195	220	230	208	179	179	139	110	110	161	179	161	161	139	110
gene942	220	208	264	283	248	230	230	220	195	179	195	208	256	220	195	179	161
gene943	256	208	240	248	220	208	208	230	208	195	220	195	220	179	161	179	220
gene944	139	179	161	139	139	161	110	161	161	69	110	139	195	179	139	161	139
gene945	139	110	179	161	139	110	110	110	110	0	69	69	69	69	69	69	0
gene946	161	179	220	277	289	289	294	294	256	179	179	195	277	256	230	230	240
gene947	69	69	69	0	69	69	69	110	69	0	0	0	69	69	0	69	69
gene948	179	220	139	161	220	220	195	220	208	161	161	179	208	195	179	195	179
gene949	230	240	230	300	314	283	271	256	230	220	220	240	264	248	264	271	264
gene950	0	69	69	69	69	110	69	110	69	0	0	0	69	69	69	69	0
gene951	283	220	139	139	161	139	139	139	195	208	208	220	230	220	230	264	271
gene952	161	69	0	0	0	0	69	0	0	0	0	0	69	0	0	0	0
gene953	318	330	326	309	300	277	318	330	314	318	318	304	318	294	314	300	309
gene954	220	230	139	161	208	220	161	195	195	161	208	240	220	230	208	220	220
gene955	69	110	110	69	69	69	69	69	69	69	69	69	110	69	69	69	69
gene956	333	337	289	271	220	195	179	179	208	230	256	277	277	256	256	256	248
gene957	230	220	161	230	277	283	248	294	277	208	230	248	256	256	256	264	240
gene958	69	69	0	69	69	0	0	69	69	0	0	69	69	0	69	69	0
gene959	110	0	69	69	69	69	69	69	69	69	110	110	139	139	161	139	161
gene960	195	195	208	195	208	208	208	220	208	161	195	179	220	195	179	179	195
gene961	139	230	208	208	289	230	161	179	179	139	179	220	256	256	256	256	230
gene962	110	304	343	289	240	220	161	139	139	220	289	300	289	240	179	179	179
gene963	277	294	248	248	256	256	256	271	256	220	220	248	256	256	240	264	256
gene964	314	356	358	350	353	304	333	333	330	376	343	350	330	333	358	376	340
gene965	69	110	69	69	69	69	69	69	69	0	0	69	69	69	69	69	69
gene966	240	139	69	69	110	110	69	139	139	139	139	139	179	161	161	179	195
gene967	195	300	340	330	289	256	264	264	230	179	195	195	230	208	208	179	208
gene968	195	264	230	220	264	220	179	240	248	179	208	230	256	248	220	230	220
gene969	256	271	271	240	256	256	240	248	264	208	240	256	283	264	230	264	256
gene970	0	69	69	0	69	69	0	69	69	0	69	69	69	69	69	69	0
gene971	161	208	161	161	208	208	139	195	195	139	161	179	195	179	179	179	161
gene972	179	248	271	264	230	220	195	208	208	220	256	264	256	230	208	208	179
gene973	69	69	69	110	69	69	0	0	0	0	0	0	0	0	0	0	0
gene974	264	304	256	277	264	264	271	300	277	230	256	264	248	264	271	264	240
gene975	449	434	460	471	457	423	449	450	414	484	447	425	434	411	425	434	454
gene976	294	195	161	195	110	110	110	139	110	69	110	110	139	110	139	69	110
gene977	0	69	139	69	110	69	0	69	69	69	110	110	139	110	69	69	69
gene978	161	195	161	139	179	195	139	179	195	139	161	179	208	195	161	179	161
gene979	220	283	248	220	264	264	264	271	264	220	230	248	271	248	230	256	248
gene980	139	161	195	139	110	110	110	139	139	161	179	161	161	110	69	69	110
gene981	139	179	179	161	161	139	161	195	179	110	161	161	179	110	139	110	110
gene982	139	139	110	161	179	195	179	195	161	69	110	110	195	139	139	110	139
gene983	361	371	389	399	381	347	350	364	350	422	385	391	378	371	389	395	383
gene984	161	195	240	248	230	230	195	208	195	139	208	248	277	240	195	208	195
gene985	195	139	110	69	161	139	69	110	110	69	110	139	161	139	110	139	139
gene986	248	179	139	161	139	110	110	110	110	69	110	139	139	139	69	110	139
gene987	179	179	139	179	179	179	179	208	179	110	139	161	195	139	139	179	179
gene988	0	161	0	0	0	0	0	0	0	69	208	208	179	110	69	69	69
gene989	289	208	208	240	195	195	208	220	208	139	179	179	220	195	195	179	195
gene990	110	139	139	139	161	161	161	161	139	69	110	110	179	139	69	110	110
gene991	445	447	462	477	483	460	474	452	430	496	448	461	456	460	423	463	469
gene992	289	304	271	271	300	309	289	283	256	240	230	240	264	256	179	248	271
gene993	289	314	283	294	230	240	248	256	240	195	208	208	220	208	220	208	195
gene994	356	337	353	340	347	300	326	330	304	347	337	314	333	309	322	326	389
gene995	110	110	69	0	0	0	69	110	110	0	69	0	69	0	69	69	69
gene996	161	139	110	110	139	139	161	195	179	110	110	110	179	161	139	179	179
gene997	208	161	110	161	179	195	161	179	179	179	208	220	240	220	208	208	195
gene998	195	110	69	110	110	69	69	69	110	110	110	110	139	110	69	110	110
gene999	139	69	110	69	110	110	69	69	139	69	110	110	139	69	69	110	110
gene1000	161	161	195	195	139	139	161	179	161	161	161	161	161	139	161	139	110
gene1001	289	318	300	314	294	300	304	314	309	277	289	294	309	309	304	318	309
gene1002	340	248	161	139	69	69	69	139	161	110	110	69	69	69	0	69	110
gene1003	283	283	304	314	277	248	240	240	220	220	264	264	289	248	220	208	220
gene1004	208	271	230	220	256	264	230	248	256	208	240	264	277	248	230	240	230
gene1005	347	340	330	347	340	300	318	318	318	333	337	326	333	314	330	343	385
gene1006	139	161	110	110	161	161	139	139	139	69	110	139	161	139	139	139	110
gene1007	230	230	220	220	220	230	220	230	220	161	179	195	230	208	161	208	208
gene1008	69	69	139	110	69	69	0	0	0	0	110	139	110	69	69	69	69
gene1009	139	208	161	179	179	161	195	195	195	110	139	161	179	161	161	161	139
gene1010	139	240	179	161	179	161	195	208	195	161	179	179	161	179	179	179	161
gene1011	208	220	264	289	208	220	208	230	230	179	230	220	240	220	230	220	220
gene1012	110	69	69	69	69	69	110	110	69	0	69	69	139	110	139	139	139
gene1013	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1014	69	69	0	69	0	0	0	69	69	0	0	0	69	0	69	0	0
gene1015	195	110	179	179	139	139	110	139	110	110	179	179	195	139	139	139	139
gene1016	110	139	139	69	139	110	139	161	110	69	110	110	110	69	69	69	69
gene1017	364	366	403	387	358	330	361	374	366	404	409	376	358	333	361	330	347
gene1018	161	220	179	179	179	179	139	161	179	110	139	161	179	161	139	161	139
gene1019	271	309	294	322	309	277	326	318	309	294	294	300	289	294	309	318	294
gene1020	179	230	161	139	161	179	195	220	208	161	179	161	161	139	161	179	139
gene1021	0	69	0	69	0	69	69	110	69	0	69	0	69	0	0	0	0
gene1022	161	208	264	240	195	161	161	139	161	179	240	220	220	195	161	139	139
gene1023	406	391	369	356	289	248	220	195	179	220	220	264	300	309	294	322	304
gene1024	283	220	195	195	195	195	179	179	208	208	208	220	220	220	220	240	230
gene1025	309	300	271	330	318	304	294	318	318	318	318	309	277	294	304	314	300
gene1026	289	309	318	309	318	318	289	314	304	271	289	289	326	304	277	314	300
gene1027	139	69	0	69	0	0	0	0	69	0	0	0	0	0	0	0	0
gene1028	208	195	208	220	208	179	195	195	139	110	110	110	139	110	110	110	139
gene1029	110	161	69	110	110	139	139	139	139	69	110	110	110	110	110	139	139
gene1030	366	366	383	381	371	347	358	353	358	391	366	364	364	350	361	387	369
gene1031	179	110	110	110	110	110	110	110	139	110	110	110	110	110	139	110	110
gene1032	161	110	0	0	0	0	69	69	69	0	69	69	69	0	69	69	110
gene1033	309	304	294	300	309	318	309	304	300	277	283	304	318	309	271	322	318
gene1034	161	110	110	139	69	69	69	69	110	69	69	69	0	69	69	69	69
gene1035	69	69	69	110	69	69	69	69	69	0	69	0	69	0	0	0	0
gene1036	283	271	300	277	248	230	248	248	248	248	264	240	240	230	248	230	248
gene1037	271	208	230	240	195	161	139	139	139	139	110	110	161	139	139	110	110
gene1038	208	230	208	179	139	139	69	69	69	0	69	110	110	69	0	0	0
gene1039	139	139	139	110	69	69	0	69	69	0	69	110	110	69	69	69	69
gene1040	139	161	139	139	110	110	139	139	139	69	139	139	161	110	110	110	110
gene1041	195	220	179	179	179	139	195	179	179	161	220	208	195	161	161	179	195
gene1042	161	179	179	179	110	110	161	179	179	139	195	179	161	139	195	161	161
gene1043	230	139	69	139	179	161	139	139	161	139	161	161	195	179	161	161	179
gene1044	139	69	0	69	69	110	110	69	69	0	69	110	69	69	69	69	69
gene1045	208	69	69	161	139	110	110	161	195	139	161	139	139	110	139	139	195
gene1046	208	69	139	161	161	139	0	69	110	69	69	110	110	69	69	69	110
gene1047	110	110	69	69	139	161	139	139	110	0	69	110	110	69	69	69	69
gene1048	139	110	69	110	69	110	110	110	110	69	69	110	110	69	69	110	110
gene1049	208	161	110	110	69	69	69	69	69	0	0	0	0	0	0	0	0
gene1050	230	161	161	195	161	139	179	179	195	139	179	161	208	139	161	161	139
gene1051	161	161	179	110	110	69	0	69	69	69	110	110	69	69	0	0	69
gene1052	69	139	195	161	69	69	69	0	69	69	110	110	69	69	0	0	0
gene1053	195	179	179	248	318	300	230	195	179	161	179	179	240	220	208	220	220
gene1054	69	69	69	110	0	0	69	69	0	0	0	0	0	0	69	0	0
gene1055	139	161	179	139	195	161	110	139	110	139	69	69	110	110	69	110	110
gene1056	161	139	195	179	110	139	161	161	179	110	179	161	179	139	161	110	139
gene1057	294	110	161	195	161	110	69	69	139	161	179	195	208	179	139	195	230
gene1058	179	195	110	110	110	139	139	161	161	0	110	161	179	161	195	208	195
gene1059	110	110	69	0	0	69	69	69	110	0	0	69	110	139	110	139	161
gene1060	110	69	0	69	69	69	0	69	139	69	110	110	110	110	110	110	110
gene1061	161	139	161	139	161	161	110	161	161	110	110	139	139	110	110	110	139
gene1062	208	179	139	179	208	208	179	195	179	139	139	161	208	179	161	161	179
gene1063	179	195	220	208	179	179	179	179	179	139	161	139	161	110	139	110	139
gene1064	139	139	139	161	208	248	271	264	256	161	161	179	208	240	248	248	220
gene1065	208	179	195	256	195	220	230	220	139	139	139	139	110	110	110	139	161
gene1066	110	110	0	69	69	69	69	0	0	161	220	195	195	110	69	0	110
gene1067	161	139	69	69	69	69	69	0	0	0	0	0	69	69	0	0	0
gene1068	413	369	326	277	248	248	230	230	277	304	326	333	326	314	314	337	356
gene1069	240	179	195	220	195	208	161	179	161	110	110	110	110	110	139	139	161
gene1070	179	69	69	69	69	69	69	110	110	69	110	110	110	69	110	69	110
gene1071	330	356	393	387	356	304	256	230	248	271	289	264	264	240	283	271	309
gene1072	69	0	110	110	69	69	69	69	69	69	69	110	110	110	69	69	69
gene1073	139	179	220	240	195	195	161	139	139	110	161	179	195	179	139	139	139
gene1074	179	139	69	69	69	69	69	69	139	69	69	110	161	110	110	110	110
gene1075	69	69	69	69	69	69	69	69	69	0	0	0	0	0	0	0	0
gene1076	69	69	110	110	69	69	69	0	0	0	69	69	69	69	0	0	0
gene1077	179	110	69	110	110	110	69	110	69	0	0	69	69	69	0	0	0
gene1078	139	139	110	139	110	139	139	110	139	69	69	110	139	110	110	110	110
gene1079	69	110	69	69	0	0	0	0	69	0	0	0	0	0	69	0	69
gene1080	179	314	277	230	161	230	161	179	264	318	353	350	318	318	333	333	369
gene1081	69	139	69	0	69	69	69	69	69	69	110	110	69	110	110	69	139
gene1082	179	161	230	220	220	208	179	161	139	139	179	195	208	195	195	139	139
gene1083	195	161	110	69	110	110	69	69	69	0	69	69	110	69	0	69	69
gene1084	195	256	240	230	220	220	240	220	240	208	195	208	220	208	208	208	179
gene1085	139	179	161	220	220	230	248	220	208	110	179	220	248	240	256	230	195
gene1086	350	358	374	374	369	347	358	347	366	445	401	393	353	361	409	406	374
gene1087	139	69	0	69	0	69	69	110	69	0	69	69	110	69	69	69	110
gene1088	350	322	337	353	326	333	347	353	337	314	326	322	333	314	330	309	326
gene1089	179	179	179	208	161	179	208	195	195	139	161	161	208	195	179	179	139
gene1090	69	69	69	69	69	110	195	220	208	69	110	69	69	69	139	139	161
gene1091	289	277	294	271	240	240	240	230	240	208	256	264	283	289	304	309	326
gene1092	309	322	289	240	208	195	139	139	139	69	139	161	161	139	139	139	139
gene1093	195	179	208	277	283	283	271	256	248	208	230	240	300	264	240	264	264
gene1094	289	240	264	248	208	195	179	179	208	179	220	220	220	208	195	195	179
gene1095	240	208	195	208	179	179	195	179	240	220	230	220	179	195	208	179	195
gene1096	208	110	139	161	161	161	139	139	139	69	110	110	139	110	110	110	139
gene1097	230	220	161	139	110	110	139	139	195	110	179	139	161	161	139	139	195
gene1098	256	230	248	256	230	230	240	248	240	208	230	220	248	230	240	220	230
gene1099	110	0	0	0	69	69	69	69	69	0	0	0	69	69	69	69	69
gene1100	110	69	0	0	69	69	69	69	110	0	69	69	0	0	69	0	69
gene1101	69	110	110	69	69	0	69	69	69	0	69	0	69	0	69	0	0
gene1102	195	161	161	161	161	179	179	179	195	110	161	179	179	179	161	179	139
gene1103	139	110	110	139	69	110	139	139	139	69	110	110	139	110	139	110	110
gene1104	220	179	139	110	69	110	110	110	139	69	110	110	195	139	110	110	110
gene1105	179	139	139	139	139	161	139	139	179	139	161	179	220	161	139	161	179
gene1106	230	161	161	208	161	161	161	139	161	110	139	139	139	110	139	139	139
gene1107	139	110	110	69	0	69	69	69	0	0	0	0	0	0	0	0	0
gene1108	195	110	110	110	110	110	69	69	69	0	69	69	0	0	69	0	0
gene1109	304	277	230	294	318	271	283	294	304	277	264	271	271	289	318	300	294
gene1110	161	139	161	277	283	240	110	69	69	0	69	69	139	110	110	139	179
gene1111	300	277	240	248	294	322	300	294	322	300	318	330	326	322	326	343	340
gene1112	161	195	179	139	110	161	139	110	195	195	195	179	179	220	208	248	240
gene1113	271	161	139	161	161	179	179	179	179	110	161	179	208	179	195	161	179
gene1114	110	69	69	110	110	110	161	161	161	69	110	69	110	110	110	69	139
gene1115	110	161	110	110	69	110	161	195	195	139	161	139	110	110	139	139	161
gene1116	220	208	179	161	110	110	110	69	110	0	69	69	69	69	69	0	0
